,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,doc11,doc12,doc13,doc14,doc15
Blood,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Bloody,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Blue,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Boat,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
Boats,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bobbing,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bolivia,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Bombay,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bonapartes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bone,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bonneterre,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Booble,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Book,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0
Boomer,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Boone,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bordeaux,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Borean,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Born,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
Borneo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Bosom,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Boston,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Both,0,0,0,1,0,0,1,0,0,1,2,0,0,1,0
Bottle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bottle-Nose,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bottom,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Bottom_,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bourbons,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bout,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bouton,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bouton-de-Rose,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Bouton-de-Rose-bud,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bouton-de-Roses,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Bowditch,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
Bower,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bowie-knives,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Boys,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Brace,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brahma,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Brahmins,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Brandreth,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Brazil,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Breakfast,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bremen,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Bress,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bridge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Brighggians,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bring,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Brisson,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brit,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Britain,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
British,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Britons,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Broad,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Broad-nosed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Broadway,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Broke,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Brother,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Browne,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0
Brute,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Buckets,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Buffalo,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Bulkington,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0
Bull,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Bull—he,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bulwarks,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bunger,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0
Bungle,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bunyan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Buoyed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Burke,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Burkes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Burst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Burton,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Burtons,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Business,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
But,21,26,16,38,34,31,60,36,39,61,70,75,80,77,34
